ID	Sex	Group	Date	Time	Session	Condition	trial_number	position_correct	Configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	peek	prePeek_above	prePeek_below	prePeek	anyPeek_above	anyPeek_below	anyPeek
Kato	M	East	27/11/2018	am	5	Visible	1	1	top	1	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	27/11/2018	am	5	Visible	2	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Kato	M	East	27/11/2018	am	5	Visible	3	2	all	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	27/11/2018	am	5	Visible	4	3	bottom	3	d	1	0	0	0	0	0	0	0	0	0
Kato	M	East	27/11/2018	am	5	Visible	5	1	bottom	1	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	27/11/2018	am	5	Visible	6	2	all	2	d	1	0	0	0	1	1	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	7	3	none	3	d	1	0	0	0	0	0	0	0	0	0
Kato	M	East	27/11/2018	am	5	Visible	8	1	top	2	t	0	0	0	0	1	1	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	9	1	all	1	d	1	0	0	0	1	1	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	10	3	none	1	t	0	0	0	0	0	0	0	0	0	0
Kato	M	East	27/11/2018	am	5	Visible	11	2	bottom	3	b	0	0	0	0	0	0	0	0	0	0
Kato	M	East	27/11/2018	am	5	Visible	12	2	top	3	t	0	0	0	0	1	1	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	13	2	all	1	t	0	0	0	0	1	0	1	1	0	1
Kato	M	East	27/11/2018	am	5	Visible	14	3	top	3	d	1	1	1	1	1	0	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	15	3	bottom	3	d	1	0	0	0	1	1	1	1	1	1
Kato	M	East	27/11/2018	am	5	Visible	16	1	none	2	t	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	1	1	top	1	d	1	1	1	1	1	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	2	3	none	1	b	0	1	1	1	0	0	0	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	3	2	all	1	b	0	0	0	0	1	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	4	3	bottom	3	d	1	1	0	1	1	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	5	1	bottom	1	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	6	2	all	3	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	7	3	none	3	d	1	1	1	1	0	0	0	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	8	1	top	1	d	1	1	0	1	0	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	9	1	all	1	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	10	3	none	2	b	0	1	1	1	0	0	0	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	11	2	bottom	3	b	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	12	2	top	1	b	0	0	1	1	1	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	13	2	all	3	b	0	1	1	1	0	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	14	3	top	3	d	1	0	1	1	1	1	1	1	1	1
Carlos	M	East	27/11/2018	pm	8	Opaque	15	3	bottom	3	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	27/11/2018	pm	8	Opaque	16	1	none	1	d	1	1	1	1	0	0	0	1	1	1
Kato	M	East	10/12/2018	am	6	Visible	1	1	all	1	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	2	2	none	2	d	1	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	3	2	top	2	d	1	0	0	0	0	0	0	0	0	0
Kato	M	East	10/12/2018	am	6	Visible	4	1	bottom	1	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	5	2	none	2	d	1	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	6	3	top	3	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	7	1	all	3	t	0	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	8	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	9	2	top	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	10	1	bottom	1	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	11	2	all	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	12	3	none	3	d	1	0	0	0	0	0	0	0	0	0
Kato	M	East	10/12/2018	am	6	Visible	13	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	14	1	none	3	t	0	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	15	2	top	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	am	6	Visible	16	3	all	3	d	1	0	0	0	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	1	2	bottom	1	t	0	1	0	1	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	2	1	top	1	d	1	1	0	1	0	0	0	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	3	3	all	3	d	1	1	0	1	1	1	1	1	1	1
Reuben	M	East	10/12/2018	am	8	Visible	4	2	none	2	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	10/12/2018	am	8	Visible	5	3	top	3	d	1	0	0	0	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	6	1	all	1	d	1	1	0	1	1	1	1	1	1	1
Reuben	M	East	10/12/2018	am	8	Visible	7	1	bottom	1	d	1	1	0	1	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	8	3	none	3	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	10/12/2018	am	8	Visible	9	2	all	1	t	0	1	0	1	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	10	3	bottom	3	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	10/12/2018	am	8	Visible	11	1	none	1	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	10/12/2018	am	8	Visible	12	2	top	1	b	0	1	1	1	1	1	1	1	1	1
Reuben	M	East	10/12/2018	am	8	Visible	13	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	14	2	all	2	d	1	1	0	1	1	0	1	1	0	1
Reuben	M	East	10/12/2018	am	8	Visible	15	3	bottom	3	d	1	1	0	1	0	1	1	1	1	1
Reuben	M	East	10/12/2018	am	8	Visible	16	1	top	1	d	1	0	0	0	0	0	0	0	0	0
Kato	M	East	10/12/2018	pm	7	Opaque	1	1	all	1	d	1	1	0	1	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	2	3	bottom	3	d	1	1	0	1	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	3	2	none	3	t	0	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	4	2	top	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	5	3	bottom	3	d	1	1	0	1	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	6	1	all	3	b	0	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	7	3	top	3	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	8	1	none	3	t	0	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	9	1	none	1	d	1	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	10	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	11	2	all	1	t	0	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	12	2	top	3	t	0	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	13	3	bottom	3	d	1	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	14	2	all	2	d	1	0	0	0	1	0	1	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	15	1	none	2	t	0	1	0	1	0	0	0	1	0	1
Kato	M	East	10/12/2018	pm	7	Opaque	16	2	top	3	t	0	0	0	0	1	0	1	1	0	1
Flojo	M	East	11/12/2018	am	4	Visible	1	2	bottom	1	t	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	2	1	top	1	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	3	3	all	3	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	4	2	none	3	t	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	5	3	top	3	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	6	1	all	1	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	7	1	bottom	1	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	8	3	none	1	t	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	9	2	all	3	b	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	10	3	bottom	3	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	11	1	none	3	b	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	12	2	top	3	t	0	0	1	1	0	0	0	0	1	1
Flojo	M	East	11/12/2018	am	4	Visible	13	3	none	3	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	14	2	all	1	t	0	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	15	3	bottom	3	d	1	0	0	0	0	0	0	0	0	0
Flojo	M	East	11/12/2018	am	4	Visible	16	1	top	1	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	11/12/2018	am	9	Opaque	1	2	top	3	t	0	1	0	1	1	0	1	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	2	3	none	1	t	0	1	0	1	0	0	0	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	3	1	bottom	3	b	0	0	0	0	1	0	1	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	4	1	all	1	d	1	0	0	0	1	1	1	1	1	1
Reuben	M	East	11/12/2018	am	9	Opaque	5	2	none	1	t	0	1	0	1	0	0	0	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	6	3	top	2	t	0	1	0	1	1	1	1	1	1	1
Reuben	M	East	11/12/2018	am	9	Opaque	7	2	bottom	1	b	0	1	0	1	1	0	1	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	8	1	all	1	d	1	0	0	0	0	0	0	0	0	0
Reuben	M	East	11/12/2018	am	9	Opaque	9	2	top	1	t	0	0	0	0	1	1	1	1	1	1
Reuben	M	East	11/12/2018	am	9	Opaque	10	3	all	2	b	0	1	0	1	1	1	1	1	1	1
Reuben	M	East	11/12/2018	am	9	Opaque	11	1	none	3	t	0	1	0	1	0	0	0	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	12	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Reuben	M	East	11/12/2018	am	9	Opaque	13	2	all	1	t	0	1	0	1	1	1	1	1	1	1
